plant,units_config,capacity_mw,com_year,technology,year,year_index,capital_cost_cr,equity_cr,loan_cr,depreciated_cost_cr,om_actual_cr,target_availability_pct,plf_pct,energy_generated_mu,apc_pct,shr_kcal_kwh,specific_oil_consumption_ml_kwh,coal_consumption_mt,oil_consumption_kl,avg_receivables_cr,spares_pct,gcv_coal_kcal_kg,gcv_oil_kcal_lt,avg_coal_price_per_mt,avg_oil_price_per_kl,scc_kg_kwh,debt_equity_ratio,capital_cost_per_mw_cr,om_cost_paise_per_unit,coal_cost_paise_per_unit,oil_cost_paise_per_unit,fuel_cost_paise_per_unit,total_variable_cost_paise_per_unit,net_block_pct_of_capital
Anpara-A,3x210 MW,630,1987,Subcritical,FY 2019-20,0,1026.98,283.8,0.0,140.68,207.65,85.0,85.0,4703.83,9.0,2430,0.5,3320000,2351.92,130.95,20.0,3525.33,9626.72,2320.4,51782.61,0.6892971721796257,0.0,1.630126984126984,44.144877684780276,159.94451583256037,2.5891305,162.53364633256038,206.67852401734066,13.69841671697599
Anpara-A,3x210 MW,630,1987,Subcritical,FY 2020-21,1,1026.98,283.8,0.0,140.69,214.96,85.0,85.0,4690.98,9.0,2430,0.5,3310000,2345.49,131.99,20.0,3525.33,9626.72,2320.4,51782.61,0.6892971721796257,0.0,1.630126984126984,45.82411351146242,159.94451583256037,2.5891305,162.53364633256038,208.3577598440228,13.699390445773044
Anpara-A,3x210 MW,630,1987,Subcritical,FY 2021-22,2,1026.98,283.8,0.0,140.7,222.45,85.0,85.0,4690.98,9.0,2430,0.5,3310000,2345.49,132.96,20.0,3525.33,9626.72,2320.4,51782.61,0.6892971721796257,0.0,1.630126984126984,47.420794801939046,159.94451583256037,2.5891305,162.53364633256038,209.95444113449943,13.700364174570097
Anpara-A,3x210 MW,630,1987,Subcritical,FY 2022-23,3,1026.98,283.8,0.0,140.7,230.33,85.0,85.0,4690.98,9.0,2430,0.5,3310000,2345.49,133.98,20.0,3525.33,9626.72,2320.4,51782.61,0.6892971721796257,0.0,1.630126984126984,49.10061437055796,159.94451583256037,2.5891305,162.53364633256038,211.63426070311834,13.700364174570097
Anpara-A,3x210 MW,630,1987,Subcritical,FY 2023-24,4,1026.98,283.8,0.0,140.7,238.39,85.0,85.0,4703.83,9.0,2430,0.5,3320000,2351.92,134.92,20.0,3525.33,9626.72,2320.4,51782.61,0.6892971721796257,0.0,1.630126984126984,50.67997780532034,159.94451583256037,2.5891305,162.53364633256038,213.21362413788071,13.700364174570097
Parichha Extn.,2x210 MW,420,2006,Subcritical,FY 2019-20,0,1855.53,386.91,524.06,809.34,138.43,85.0,85.0,3136.0,9.0,2430,0.5,2120000,1567.944,170.27,20.0,3666.33,9664.34,4681.14,51734.67,0.6627881287281833,1.3544752009511254,4.417928571428571,44.1422193877551,310.26040209146475,2.5867335,312.84713559146473,356.98935497921985,43.61772647168195
Parichha Extn.,2x210 MW,420,2006,Subcritical,FY 2020-21,1,1855.53,386.91,422.44,707.72,143.3,85.0,85.0,3127.0,9.0,2430,0.5,2120000,1563.66,169.88,20.0,3666.33,9664.34,4681.14,51734.67,0.6627881287281833,1.0918301413765474,4.417928571428571,45.826670930604415,310.26040209146475,2.5867335,312.84713559146473,358.6738065220691,38.14112409931394
Parichha Extn.,2x210 MW,420,2006,Subcritical,FY 2021-22,2,1855.53,386.91,320.81,606.11,148.3,85.0,85.0,3127.0,9.0,2430,0.5,2120000,1563.66,169.38,20.0,3666.33,9664.34,4681.14,51734.67,0.6627881287281833,0.8291592359980356,4.417928571428571,47.42564758554525,310.26040209146475,2.5867335,312.84713559146473,360.27278317700996,32.66506065652401
Parichha Extn.,2x210 MW,420,2006,Subcritical,FY 2022-23,3,1855.53,386.91,219.19,504.49,153.55,85.0,85.0,3127.0,9.0,2430,0.5,2120000,1563.66,168.91,20.0,3666.33,9664.34,4681.14,51734.67,0.6627881287281833,0.5665141764234576,4.417928571428571,49.104573073233134,310.26040209146475,2.5867335,312.84713559146473,361.9517086646979,27.18845828415601
Parichha Extn.,2x210 MW,420,2006,Subcritical,FY 2023-24,4,1855.53,386.91,117.57,402.86,158.93,85.0,85.0,3136.0,9.0,2430,0.5,2120000,1567.944,168.32,20.0,3666.33,9664.34,4681.14,51734.67,0.6627881287281833,0.3038691168488796,4.417928571428571,50.67920918367347,310.26040209146475,2.5867335,312.84713559146473,363.5263447751382,21.711316982209937
Obra-B,5x200 MW,1000,1980,Subcritical,FY 2019-20,0,2058.63,597.24,599.83,1196.63,329.6,,75.0,6588.0,9.700000000000001,2755,2.1,5000000,13834.8,262.46,20.0,3692.0,9035.67,2862.47,38250.4,0.7462080173347779,1.0043366150961088,2.05863,50.03035822707954,213.59980633802815,8.032584000000002,221.63239033802816,271.6627485651077,58.12749255572881
Obra-B,5x200 MW,1000,1980,Subcritical,FY 2020-21,1,2060.25,597.72,599.83,1084.16,341.2,,75.0,6570.0,9.700000000000001,2755,2.1,4980000,13797.0,265.76,20.0,3692.0,9035.67,2862.47,38250.4,0.7462080173347779,1.0035300809743692,2.06025,51.93302891933029,213.59980633802815,8.032584000000002,221.63239033802816,273.5654192573584,52.62273995874287
Obra-B,5x200 MW,1000,1980,Subcritical,FY 2021-22,2,2060.26,597.72,599.83,970.03,353.1,,75.0,6570.0,9.700000000000001,2755,2.1,4980000,13797.0,265.66,20.0,3692.0,9035.67,2862.47,38250.4,0.7462080173347779,1.0035300809743692,2.0602600000000004,53.74429223744293,213.59980633802815,8.032584000000002,221.63239033802816,275.3766825754711,47.08289245046741
Obra-B,5x200 MW,1000,1980,Subcritical,FY 2022-23,3,2060.26,597.72,599.83,855.89,365.6,,75.0,6570.0,9.700000000000001,2755,2.1,4980000,13797.0,265.62,20.0,3692.0,9035.67,2862.47,38250.4,0.7462080173347779,1.0035300809743692,2.0602600000000004,55.64687975646879,213.59980633802815,8.032584000000002,221.63239033802816,277.27927009449695,41.54281498451651
Obra-B,5x200 MW,1000,1980,Subcritical,FY 2023-24,4,2060.26,597.72,599.83,741.76,378.4,,75.0,6588.0,9.700000000000001,2755,2.1,5000000,13834.8,265.39,20.0,3692.0,9035.67,2862.47,38250.4,0.7462080173347779,1.0035300809743692,2.0602600000000004,57.43776563448695,213.59980633802815,8.032584000000002,221.63239033802816,279.0701559725151,36.00322289419782
